Date,Close,Open,High,Low
9/11/2018,1.1336,1.1364,1.1371,1.1315
12/11/2018,1.1218,1.1331,1.1333,1.1214
13/11/2018,1.1291,1.1219,1.1296,1.1216
14/11/2018,1.131,1.129,1.1349,1.1262
15/11/2018,1.1328,1.1309,1.1364,1.1271
16/11/2018,1.142,1.133,1.1423,1.132
19/11/2018,1.1453,1.1403,1.1467,1.1393
20/11/2018,1.1371,1.1453,1.1473,1.1357
21/11/2018,1.1385,1.1371,1.1426,1.1363
22/11/2018,1.1408,1.1382,1.1434,1.1378
23/11/2018,1.1341,1.1403,1.1422,1.1325
26/11/2018,1.1328,1.1343,1.1385,1.1323
27/11/2018,1.1288,1.1326,1.1344,1.1276
28/11/2018,1.1366,1.1291,1.1387,1.1264
29/11/2018,1.1393,1.1367,1.1403,1.1348
30/11/2018,1.1317,1.1395,1.1402,1.1304
3/12/2018,1.1354,1.1315,1.1382,1.1315
4/12/2018,1.1345,1.1354,1.1421,1.1318
5/12/2018,1.1344,1.1342,1.1361,1.1309
6/12/2018,1.1376,1.1345,1.1414,1.1321
7/12/2018,1.1378,1.1377,1.1425,1.1359
10/12/2018,1.1356,1.1401,1.1444,1.1349
11/12/2018,1.1316,1.1361,1.1402,1.1304
12/12/2018,1.1368,1.1317,1.1388,1.1312
13/12/2018,1.1363,1.1369,1.1396,1.133
14/12/2018,1.1309,1.1362,1.1374,1.1268
17/12/2018,1.1347,1.1308,1.136,1.1299
18/12/2018,1.1361,1.1346,1.1402,1.1336
19/12/2018,1.1377,1.1361,1.1442,1.136
20/12/2018,1.1446,1.1377,1.1487,1.1371
21/12/2018,1.1369,1.1447,1.1477,1.1353
24/12/2018,1.14,1.137,1.1439,1.135
25/12/2018,1.1362,1.14,1.1429,1.1361
26/12/2018,1.1353,1.1363,1.1423,1.1342
27/12/2018,1.143,1.1353,1.1457,1.1349
28/12/2018,1.1438,1.1429,1.1478,1.1424
31/12/2018,1.147,1.1443,1.147,1.1421
1/1/2019,1.1464,1.1466,1.1481,1.1425
2/1/2019,1.1343,1.1464,1.1499,1.1325
3/1/2019,1.1394,1.1345,1.1413,1.1309
4/1/2019,1.1395,1.1393,1.1422,1.1345
7/1/2019,1.1476,1.1392,1.1485,1.1392
8/1/2019,1.1442,1.1476,1.1487,1.1422
9/1/2019,1.1543,1.1444,1.1556,1.1435
10/1/2019,1.15,1.1542,1.1572,1.1485
11/1/2019,1.1469,1.1499,1.1542,1.1457
14/01/2019,1.1477,1.1471,1.1485,1.144
15/01/2019,1.1417,1.1473,1.1494,1.1381
16/01/2019,1.14,1.1414,1.1429,1.1377
17/01/2019,1.1398,1.1396,1.141,1.1369
18/01/2019,1.1363,1.1389,1.1413,1.1352
21/01/2019,1.1366,1.1371,1.1409,1.1355
22/01/2019,1.1359,1.1365,1.1386,1.1334
23/01/2019,1.1381,1.1358,1.1397,1.1348
24/01/2019,1.1306,1.138,1.1398,1.1287
25/01/2019,1.1415,1.1306,1.1421,1.1298
28/01/2019,1.1434,1.1404,1.1445,1.1388
29/01/2019,1.1432,1.1428,1.1453,1.141
30/01/2019,1.1479,1.1433,1.1503,1.1404
31/01/2019,1.1446,1.148,1.1517,1.1434
1/2/2019,1.1456,1.1447,1.149,1.1433
4/2/2019,1.1438,1.1457,1.1467,1.1421
5/2/2019,1.1415,1.1442,1.1456,1.14
6/2/2019,1.1362,1.1406,1.142,1.1359
7/2/2019,1.1341,1.136,1.1375,1.1322
8/2/2019,1.133,1.1346,1.1355,1.132
11/2/2019,1.1276,1.1328,1.1331,1.1264
12/2/2019,1.1325,1.128,1.1342,1.1256
13/02/2019,1.1267,1.1326,1.1346,1.126
14/02/2019,1.1301,1.1262,1.1313,1.1247
15/02/2019,1.1295,1.1295,1.1313,1.1233
18/02/2019,1.1311,1.1288,1.1337,1.1284
19/02/2019,1.1341,1.131,1.1358,1.1274
20/02/2019,1.1337,1.1342,1.1374,1.1324
21/02/2019,1.1336,1.1338,1.1368,1.132
22/02/2019,1.1343,1.1337,1.136,1.1315
25/02/2019,1.1359,1.1338,1.1369,1.1323
26/02/2019,1.1387,1.1366,1.1404,1.1343
27/02/2019,1.1369,1.1396,1.1404,1.136
28/02/2019,1.1371,1.1371,1.1421,1.1357
1/3/2019,1.1377,1.1372,1.141,1.1353
4/3/2019,1.134,1.138,1.1398,1.1309
5/3/2019,1.1308,1.1339,1.1353,1.129
6/3/2019,1.1307,1.1313,1.1328,1.1286
7/3/2019,1.1194,1.1306,1.1322,1.1176
8/3/2019,1.124,1.1194,1.1248,1.1185
11/3/2019,1.1247,1.1238,1.1259,1.1221
12/3/2019,1.1286,1.125,1.1308,1.1243
13/03/2019,1.1325,1.1287,1.1341,1.1277
14/03/2019,1.1302,1.1329,1.1342,1.1293
15/03/2019,1.1325,1.1305,1.1346,1.1296
18/03/2019,1.1336,1.1323,1.136,1.1317
19/03/2019,1.1349,1.1337,1.1364,1.1332
20/03/2019,1.1411,1.1351,1.145,1.1335
21/03/2019,1.1373,1.1414,1.1439,1.1342
22/03/2019,1.1313,1.1375,1.1394,1.1272
25/03/2019,1.1311,1.1294,1.1333,1.1284
26/03/2019,1.1264,1.1313,1.1329,1.1262
27/03/2019,1.1247,1.1269,1.1287,1.1242
28/03/2019,1.122,1.1244,1.1264,1.1213
29/03/2019,1.1217,1.1221,1.1249,1.1208
1/4/2019,1.1212,1.1218,1.125,1.1202
2/4/2019,1.1202,1.1216,1.1219,1.1183
3/4/2019,1.1234,1.1205,1.1256,1.12
4/4/2019,1.122,1.1235,1.125,1.1205
5/4/2019,1.1214,1.1223,1.1247,1.1209
8/4/2019,1.1259,1.1218,1.1277,1.1213
9/4/2019,1.1261,1.1272,1.1286,1.1253
10/4/2019,1.1273,1.1264,1.1288,1.1229
11/4/2019,1.125,1.1273,1.1291,1.1249
12/4/2019,1.13,1.1254,1.1327,1.1252
15/04/2019,1.1307,1.13,1.1322,1.1294
16/04/2019,1.128,1.1303,1.1315,1.1279
17/04/2019,1.1294,1.1281,1.1326,1.1279
18/04/2019,1.1229,1.1297,1.1307,1.1226
19/04/2019,1.1246,1.1241,1.1254,1.1228
22/04/2019,1.1255,1.1244,1.1264,1.1236
23/04/2019,1.1225,1.1257,1.1264,1.1192
24/04/2019,1.1152,1.1229,1.1233,1.114
25/04/2019,1.113,1.1161,1.1164,1.1118
26/04/2019,1.1148,1.1131,1.1176,1.1111
29/04/2019,1.1185,1.1152,1.1192,1.1141
30/04/2019,1.1215,1.1186,1.1231,1.1175
1/5/2019,1.1194,1.1215,1.1266,1.1187
2/5/2019,1.1176,1.1202,1.1221,1.117
3/5/2019,1.12,1.1178,1.1207,1.1135
6/5/2019,1.1197,1.1172,1.1211,1.1159
7/5/2019,1.119,1.1199,1.1222,1.1165
8/5/2019,1.1191,1.1191,1.1215,1.1182
9/5/2019,1.122,1.1192,1.1253,1.1172
10/5/2019,1.1233,1.1215,1.1255,1.1214
13/05/2019,1.1223,1.1242,1.1266,1.1221
14/05/2019,1.1203,1.1224,1.1247,1.12
15/05/2019,1.12,1.1204,1.1226,1.1177
16/05/2019,1.1172,1.1202,1.1227,1.1165
17/05/2019,1.1156,1.1174,1.1185,1.1154
20/05/2019,1.117,1.1158,1.1177,1.1149
21/05/2019,1.1158,1.1171,1.1188,1.1141
